Month-Year,1st_Revision,2nd_Revision,3rd_Revision
Jan-79,-141,59,-82
Feb-79,7,-14,-7
Mar-79,98,23,121
Apr-79,-68,-19,-87
May-79,97,23,120
Jun-79,73,55,128
Jul-79,5,38,43
Aug-79,3,44,47
Sep-79,-52,-42,-94
Oct-79,-142,15,-127
Nov-79,-91,-9,-100
Dec-79,-186,10,-176
Jan-80,44,62,106
Feb-80,-19,71,52
Mar-80,94,20,114
Apr-80,168,118,286
May-80,-169,-134,-303
Jun-80,19,74,93
Jul-80,56,2,58
Aug-80,41,33,74
Sep-80,36,19,55
Oct-80,-29,98,69
Nov-80,-61,44,-17
Dec-80,-50,9,-41
Jan-81,0,-18,-18
Feb-81,112,8,120
Mar-81,61,-9,52
Apr-81,5,326,331
May-81,88,34,122
Jun-81,33,32,65
Jul-81,-32,-86,-118
Aug-81,-12,-28,-40
Sep-81,101,85,186
Oct-81,-30,34,4
Nov-81,-96,23,-73
Dec-81,-133,17,-116
Jan-82,-37,40,3
Feb-82,64,-21,43
Mar-82,-41,104,63
Apr-82,-144,90,-54
May-82,92,15,107
Jun-82,-165,-21,-186
Jul-82,-160,-127,-287
Aug-82,-56,44,-12
Sep-82,106,79,185
Oct-82,-126,-18,-144
Nov-82,-13,66,53
Dec-82,-49,30,-19
Jan-83,-9,25,16
Feb-83,-5,24,19
Mar-83,77,-127,-50
Apr-83,15,14,29
May-83,-59,5,-54
Jun-83,67,12,79
Jul-83,-129,-50,-179
Aug-83,-6,0,-6
Sep-83,285,98,383
Oct-83,-116,32,-84
Nov-83,-44,-58,-102
Dec-83,-3,16,13
Jan-84,-23,67,44
Feb-84,31,10,41
Mar-84,6,63,69
Apr-84,-9,-7,-16
May-84,37,50,87
Jun-84,7,59,66
Jul-84,-86,-1,-87
Aug-84,23,-9,14
Sep-84,92,53,145
Oct-84,-98,4,-94
Nov-84,32,5,37
Dec-84,-142,20,-122
Jan-85,-36,52,16
Feb-85,-7,4,-3
Mar-85,-28,-34,-62
Apr-85,-9,2,-7
May-85,-79,35,-44
Jun-85,-52,24,-28
Jul-85,6,-15,-9
Aug-85,-8,-10,-18
Sep-85,10,102,112
Oct-85,-60,-12,-72
Nov-85,-2,62,60
Dec-85,-52,17,-35
Jan-86,-145,-11,-156
Feb-86,-73,7,-66
Mar-86,-14,-123,-137
Apr-86,107,-14,93
May-86,-24,10,-14
Jun-86,35,-21,14
Jul-86,-110,-17,-127
Aug-86,-46,22,-24
Sep-86,58,112,170
Oct-86,-38,6,-32
Nov-86,-10,3,-7
Dec-86,-44,29,-15
Jan-87,-129,-15,-144
Feb-87,-101,-8,-109
Mar-87,-9,24,15
Apr-87,-36,-11,-47
May-87,-49,36,-13
Jun-87,-13,7,-6
Jul-87,-8,12,4
